                      name                       |                      name                       |                                                                           show_trgm                                                                           |                                                                         show_trgm                                                                         | similarity 
 Benihana Japanese Seakhouse                     | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 Benihana Japanese Steakhoujsw                   | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.888889
 Benihana Japanese Steakhouse                    | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 Benihana Japanese Steakhouse                    | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 Benihana Japanese Steakyouse                    | Benihana Japanese Steakhouse                    | {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 Bernihana Japanerse Steakhouse                  | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ber,ber!,eak,ern,ers,han,hou,iha,j#,jap,jap!,kho,ner,nih,ous,pan,rni,rse,s#,ste,ste!,tea,use}                                             | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |       0.75
 Benihana Japanese Seakhouse                     | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 Benihana Japanese Steakhoujsw                   | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.888889
 Benihana Japanese Steakhouse                    | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 Benihana Japanese Steakhouse                    | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 Benihana Japanese Steakyouse                    | Benihana Japanese Steakhouse                    | {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 Bernihana Japanerse Steakhouse                  | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ber,ber!,eak,ern,ers,han,hou,iha,j#,jap,jap!,kho,ner,nih,ous,pan,rni,rse,s#,ste,ste!,tea,use}                                             | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |       0.75
 Benihana Japanese Seakhouse                     | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 Benihana Japanese Steakhoujsw                   | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.888889
 Benihana Japanese Steakhouse                    | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 Benihana Japanese Steakhouse                    | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 Benihana Japanese Steakyouse                    | Benihana Japanese Steakhouse                    | {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 Bernihana Japanerse Steakhouse                  | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ber,ber!,eak,ern,ers,han,hou,iha,j#,jap,jap!,kho,ner,nih,ous,pan,rni,rse,s#,ste,ste!,tea,use}                                             | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |       0.75
 Benihana Japanese Seakhouse                     | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 Benihana Japanese Steakhoujsw                   | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.888889
 Benihana Japanese Steakhouse                    | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 Benihana Japanese Steakhouse                    | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 Benihana Japanese Steakyouse                    | Benihana Japanese Steakhouse                    | {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 Bernihana Japanerse Steakhouse                  | Benihana Japanese Steakhouse                    | {akh,ana,ane,apa,b#,ber,ber!,eak,ern,ers,han,hou,iha,j#,jap,jap!,kho,ner,nih,ous,pan,rni,rse,s#,ste,ste!,tea,use}                                             | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |       0.75
 Benihana Japanese Seakhouse                     | Benihan Japanese Steakhouse                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |       0.88
 Benihana Japanese Steakhoujsw                   | Benihan Japanese Steakhouse                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |   0.851852
 Benihana Japanese Steakhouse                    | Benihan Japanese Steakhouse                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |   0.961538
 Benihana Japanese Steakhouse                    | Benihan Japanese Steakhouse                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |   0.961538
 Benihana Japanese Steakyouse                    | Benihan Japanese Steakhouse                     | {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |   0.846154
 Bernihana Japanerse Steakhouse                  | Benihan Japanese Steakhouse                     | {akh,ana,ane,apa,b#,ber,ber!,eak,ern,ers,han,hou,iha,j#,jap,jap!,kho,ner,nih,ous,pan,rni,rse,s#,ste,ste!,tea,use}                                             | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |   0.714286
 Bennett's Chpp and Railhoua                     | Bennett's Cho and Railhouise                    | {a#,ail,and,and!,b#,ben,ben!,c#,chp,chp!,enn,ett,hou,hpp,ilh,lho,net,nne,oua,r#,rai,rai!,s}                                                                   | {a#,ail,and,and!,b#,ben,ben!,c#,cho,cho!,enn,ett,hou,ilh,ise,lho,net,nne,oui,r#,rai,rai!,s,uis}                                                           |   0.791667
 Ben's Chili Bowl                                | Ben's Chili Bowl                                | {b#,ben,ben!,bow,bow!,c#,chi,chi!,hil,ili,owl,s}                                                                                                              | {b#,ben,ben!,bow,bow!,c#,chi,chi!,hil,ili,owl,s}                                                                                                          |          1
 Bentley's Restaurant On 27                      | Bentley'sa Rwstaurant On 27                     | {27,ant,aur,b#,ben,ben!,ent,est,ley,ntl,on,r#,ran,res,res!,s,sta,tau,tle,ura}                                                                                 | {27,ant,aur,b#,ben,ben!,ent,ley,ntl,on,r#,ran,rws,rws!,sa,sta,tau,tle,ura,wst}                                                                            |        0.8
 Bern's Steak House                              | Bern's Steak House                              | {b#,ber,ber!,eak,ern,h#,hou,hou!,ous,s,s#,ste,ste!,tea,use}                                                                                                   | {b#,ber,ber!,eak,ern,h#,hou,hou!,ous,s,s#,ste,ste!,tea,use}                                                                                               |          1
 Bertucci's Brick Oven Restaurant                | Bertucci's Brick Oven Restaurant                | {ant,aur,b#,ber,ber!,bri,bri!,cci,ert,est,ick,o#,ove,ove!,r#,ran,res,res!,ric,rtu,s,sta,tau,tuc,ucc,ura,ven}                                                  | {ant,aur,b#,ber,ber!,bri,bri!,cci,ert,est,ick,o#,ove,ove!,r#,ran,res,res!,ric,rtu,s,sta,tau,tuc,ucc,ura,ven}                                              |          1
 Best Rstaurant in San Diego - Mr A's Restaurant | Best Restauramt in San Diego - Mr A's Restarant | {a,ant,aur,b#,bes,bes!,d#,die,die!,ego,est,ieg,in,mr,r#,ran,res,res!,rst,rst!,s,s#,san,san!,sta,tau,ura}                                                      | {a,amt,ant,ara,aur,b#,bes,bes!,d#,die,die!,ego,est,ieg,in,mr,r#,ram,ran,res,res!,s,s#,san,san!,sta,tar,tau,ura}                                           |   0.862069
 Beswt Western Rio Grad Inn                      | Best Western Rio Grande Inn                     | {b#,bes,bes!,ern,est,esw,g#,gra,gra!,i#,inn,inn!,r#,rad,rio,rio!,ste,swt,ter,w#,wes,wes!}                                                                     | {and,b#,bes,bes!,ern,est,g#,gra,gra!,i#,inn,inn!,nde,r#,ran,rio,rio!,ste,ter,w#,wes,wes!}                                                                 |   0.863636
 Betty'c                                         | Betty'd                                         | {b#,bet,bet!,c,ett,tty}                                                                                                                                       | {b#,bet,bet!,d,ett,tty}                                                                                                                                   |   0.833333
 Beaujolais Bistro                               | Bexujolais Bistro                               | {ais,auj,b#,bea,bea!,bis,bis!,eau,ist,jol,lai,ola,str,tro,ujo}                                                                                                | {ais,b#,bex,bex!,bis,bis!,exu,ist,jol,lai,ola,str,tro,ujo,xuj}                                                                                            |   0.733333
 Bahama Breeze                                   | Bhama Breeze                                    | {aha,ama,b#,bah,bah!,bre,bre!,eez,eze,ham,ree}                                                                                                                | {ama,b#,bha,bha!,bre,bre!,eez,eze,ham,ree}                                                                                                                |   0.727273
 Biga Rigerwalk Restaurant                       | Biga Riverwalk Restaurant                       | {alk,ant,aur,b#,big,big!,erw,est,ger,iga,ige,r#,ran,res,res!,rig,rig!,rwa,sta,tau,ura,wal}                                                                    | {alk,ant,aur,b#,big,big!,erw,est,iga,ive,r#,ran,res,res!,riv,riv!,rwa,sta,tau,ura,ver,wal}                                                                |   0.818182
 Big Ed's Ckty Market                            | Big Ed' City Market                             | {ark,b#,big,big!,c#,ckt,ckt!,ed,ket,kty,m#,mar,mar!,rke,s}                                                                                                    | {ark,b#,big,big!,c#,cit,cit!,ed,ity,ket,m#,mar,mar!,rke}                                                                                                  |   0.733333
 Big Mama's Kitchen & Catering                   | Big Mama's Kitchen & Catering                   | {ama,ate,b#,big,big!,c#,cat,cat!,che,eri,hen,ing,itc,k#,kit,kit!,m#,mam,mam!,rin,s,tch,ter}                                                                   | {ama,ate,b#,big,big!,c#,cat,cat!,che,eri,hen,ing,itc,k#,kit,kit!,m#,mam,mam!,rin,s,tch,ter}                                                               |          1
 Big Truck Tacos                                 | Big Truck Tacos                                 | {aco,b#,big,big!,cos,ruc,t#,tac,tac!,tru,tru!,uck}                                                                                                            | {aco,b#,big,big!,cos,ruc,t#,tac,tac!,tru,tru!,uck}                                                                                                        |          1
 Bijou Grille                                    | Bijou Grille                                    | {b#,bij,bij!,g#,gri,gri!,ijo,ill,jou,lle,ril}                                                                                                                 | {b#,bij,bij!,g#,gri,gri!,ijo,ill,jou,lle,ril}                                                                                                             |          1
 Bijou Restgaurant & Bar                         | Bijou Restaurant & Bar                          | {ant,aur,b#,bar,bar!,bij,bij!,est,gau,ijo,jou,r#,ran,res,res!,stg,tga,ura}                                                                                    | {ant,aur,b#,bar,bar!,bij,bij!,est,ijo,jou,r#,ran,res,res!,sta,tau,ura}                                                                                    |   0.833333
 Bill's Gamblin' Hall & Saloln                   | Bill;'s Gamblin' Hall & Saloon                  | {all,alo,amb,b#,bil,bil!,bli,g#,gam,gam!,h#,hal,hal!,ill,lin,lol,mbl,oln,s,s#,sal,sal!}                                                                       | {all,alo,amb,b#,bil,bil!,bli,g#,gam,gam!,h#,hal,hal!,ill,lin,loo,mbl,oon,s,s#,sal,sal!}                                                                   |   0.909091
 Billy Goat Tavern                               | Billy Goat Tavfewrn                             | {ave,b#,bil,bil!,ern,g#,goa,goa!,ill,lly,oat,t#,tav,tav!,ver}                                                                                                 | {avf,b#,bil,bil!,ewr,few,g#,goa,goa!,ill,lly,oat,t#,tav,tav!,vfe,wrn}                                                                                     |   0.705882
 Bin 36                                          | Bin 36                                          | {36,b#,bin,bin!}                                                                                                                                              | {36,b#,bin,bin!}                                                                                                                                          |          1
 Bistrfo Aix                                     | Bistro Aixc                                     | {a#,aix,aix!,b#,bis,bis!,ist,rfo,str,trf}                                                                                                                     | {a#,aix,aix!,b#,bis,bis!,ist,ixc,str,tro}                                                                                                                 |        0.8
 Bistro Boudin Restaurant                        | Bistro Bopuin Restaurant                        | {ant,aur,b#,bis,bis!,bou,bou!,din,est,ist,oud,r#,ran,res,res!,sta,str,tau,tro,udi,ura}                                                                        | {ant,aur,b#,bis,bis!,bop,bop!,est,ist,opu,pui,r#,ran,res,res!,sta,str,tau,tro,uin,ura}                                                                    |   0.761905
 Bistro Byronz                                   | Bistro Byronz                                   | {b#,bis,bis!,byr,byr!,ist,onz,ron,str,tro,yro}                                                                                                                | {b#,bis,bis!,byr,byr!,ist,onz,ron,str,tro,yro}                                                                                                            |          1
 Bistrfo Elan                                    | Bistro Elan                                     | {b#,bis,bis!,e#,ela,ela!,ist,lan,rfo,str,trf}                                                                                                                 | {b#,bis,bis!,e#,ela,ela!,ist,lan,str,tro}                                                                                                                 |   0.818182
 Bistro Ginolina Restaurant                      | Bistro Gijolina Restauraht                      | {ant,aur,b#,bis,bis!,est,g#,gin,gin!,ina,ino,ist,lin,nol,oli,r#,ran,res,res!,sta,str,tau,tro,ura}                                                             | {aht,aur,b#,bis,bis!,est,g#,gij,gij!,ijo,ina,ist,jol,lin,oli,r#,rah,res,res!,sta,str,tau,tro,ura}                                                         |       0.75
 Bitzee Mama's Restauraznmts                     | Bitzee Mama's Restaurants                       | {ama,aur,azn,b#,bit,bit!,est,itz,m#,mam,mam!,mts,nmt,r#,raz,res,res!,s,sta,tau,tze,ura,zee,znm}                                                               | {ama,ant,aur,b#,bit,bit!,est,itz,m#,mam,mam!,nts,r#,ran,res,res!,s,sta,tau,tze,ura,zee}                                                                   |   0.791667
 1515 Restaurant                                 | Biwa Restaurant                                 | {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {ant,aur,b#,biw,biw!,est,iwa,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 Biwa Restaurqnt                                 | Biwa Restaurant                                 | {aur,b#,biw,biw!,est,iwa,qnt,r#,res,res!,rqn,sta,tau,urq}                                                                                                     | {ant,aur,b#,biw,biw!,est,iwa,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.785714
 B Restaurant                                    | Biwa Restaurant                                 | {ant,aur,b,est,r#,ran,res,res!,sta,tau,ura}                                                                                                                   | {ant,aur,b#,biw,biw!,est,iwa,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 Cibo Restaurant                                 | Biwa Restaurant                                 | {ant,aur,c#,cib,cib!,est,ibo,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {ant,aur,b#,biw,biw!,est,iwa,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 Cole' Restaurant                                | Biwa Restaurant                                 | {ant,aur,c#,col,col!,est,ole,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {ant,aur,b#,biw,biw!,est,iwa,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 BJ's Restaueqnt & Brewhouse                     | BJ's Restaurabt & Brewhoue                      | {aue,b#,bj,bre,bre!,eqn,est,ewh,hou,ous,qnt,r#,res,res!,rew,s,sta,tau,ueq,use,who}                                                                            | {abt,aur,b#,bj,bre,bre!,est,ewh,hou,oue,r#,rab,res,res!,rew,s,sta,tau,ura,who}                                                                            |   0.714286
 BJ'sd Restaurant & Brdwhouse                    | BJ's Restaurant & Brewhouse                     | {ant,aur,b#,bj,brd,brd!,dwh,est,hou,ous,r#,ran,rdw,res,res!,sd,sta,tau,ura,use,who}                                                                           | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 BJ's Resgaurasnt & Brewhouse                    | BJ's Restaurant & Brewhouse                     | {asn,aur,b#,bj,bre,bre!,esg,ewh,gau,hou,ous,r#,ras,res,res!,rew,s,sga,snt,ura,use,who}                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.727273
 BJ's Restaueqnt & Brewhouse                     | BJ's Restaurant & Brewhouse                     | {aue,b#,bj,bre,bre!,eqn,est,ewh,hou,ous,qnt,r#,res,res!,rew,s,sta,tau,ueq,use,who}                                                                            | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.809524
 BJ's Restaurant & Brewoe                        | BJ's Restaurant & Brewhouse                     | {ant,aur,b#,bj,bre,bre!,est,ewo,r#,ran,res,res!,rew,s,sta,tau,ura,woe}                                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 BJ's Restaureant & Brewhouisxe                  | BJ's Restaurant & Brewhouse                     | {ant,aur,b#,bj,bre,bre!,ean,est,ewh,hou,isx,oui,r#,rea,res,res!,rew,s,sta,sxe,tau,uis,ure,who}                                                                | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.708333
 BJ'sd Restaurant & Brdwhouse                    | BJ's Restaurant & Brewhouse                     | {ant,aur,b#,bj,brd,brd!,dwh,est,hou,ous,r#,ran,rdw,res,res!,sd,sta,tau,ura,use,who}                                                                           | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 BJ's Resgaurasnt & Brewhouse                    | BJ's Restaurant & Brewhouse                     | {asn,aur,b#,bj,bre,bre!,esg,ewh,gau,hou,ous,r#,ras,res,res!,rew,s,sga,snt,ura,use,who}                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.727273
 BJ's Restaueqnt & Brewhouse                     | BJ's Restaurant & Brewhouse                     | {aue,b#,bj,bre,bre!,eqn,est,ewh,hou,ous,qnt,r#,res,res!,rew,s,sta,tau,ueq,use,who}                                                                            | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.809524
 BJ's Restaurant & Brewoe                        | BJ's Restaurant & Brewhouse                     | {ant,aur,b#,bj,bre,bre!,est,ewo,r#,ran,res,res!,rew,s,sta,tau,ura,woe}                                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 BJ's Restaureant & Brewhouisxe                  | BJ's Restaurant & Brewhouse                     | {ant,aur,b#,bj,bre,bre!,ean,est,ewh,hou,isx,oui,r#,rea,res,res!,rew,s,sta,sxe,tau,uis,ure,who}                                                                | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.708333
 BJ'sd Restaurant & Brdwhouse                    | BJ's Restaurant & Brewhouse                     | {ant,aur,b#,bj,brd,brd!,dwh,est,hou,ous,r#,ran,rdw,res,res!,sd,sta,tau,ura,use,who}                                                                           | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 BJ's Resgaurasnt & Brewhouse                    | BJ's Restaurant & Brewhouse                     | {asn,aur,b#,bj,bre,bre!,esg,ewh,gau,hou,ous,r#,ras,res,res!,rew,s,sga,snt,ura,use,who}                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.727273
 BJ's Restaueqnt & Brewhouse                     | BJ's Restaurant & Brewhouse                     | {aue,b#,bj,bre,bre!,eqn,est,ewh,hou,ous,qnt,r#,res,res!,rew,s,sta,tau,ueq,use,who}                                                                            | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.809524
 BJ's Restaurant & Brewoe                        | BJ's Restaurant & Brewhouse                     | {ant,aur,b#,bj,bre,bre!,est,ewo,r#,ran,res,res!,rew,s,sta,tau,ura,woe}                                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 BJ's Restaureant & Brewhouisxe                  | BJ's Restaurant & Brewhouse                     | {ant,aur,b#,bj,bre,bre!,ean,est,ewh,hou,isx,oui,r#,rea,res,res!,rew,s,sta,sxe,tau,uis,ure,who}                                                                | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.708333
